full_text,sentiment,confidence,full_text_length
kasi yaa anak anak muda indonesia juang panggil timnas negara rumor kaya gin naturalisasi pemain tidak darah optimis pesimis,negative,99.69%,212
baca baca proses naturalisasi pemain u brazil mendukung timnas malaysia ae ketimbang timnas indonesia,negative,90.63%,129
emang tidak peduli nga ngikutin sepakbola indonesia denger denger timnas u nya naturalisasi pemain brazil maksud ya timnas tim nasional pemain main masuk timnas otomatis orangketurunan indonesia,negative,98.45%,263
renti ngabesi duit pssi timnas senior ambek pemain senior naturalisasi lemak u bangun rumah rss pemain bola indonesia pensiun,negative,98.36%,160
mah kalo bahas naturalisasi pemain asing heboh coba panggil pemain darah indonesia butuh pemain lokal disiplin panggil saing timnas,positive,67.87%,265
pro naturalisasi sih berapa pemain timnas tidak pemain profesional kes amatir pemain timnas indonesia susah ngaturny pemain indo star syndrome pola makan susah jaga nya,negative,97.75%,269
pro naturalisasi sih berapa pemain timnas tidak pemain profesional kes amatir pemain timnas indonesia susah ngaturnya pola makan susah jaga nya,negative,94.95%,232
liat pemain brazil indonesia naturalisasi jangka butuh klub ato timnas lha nasib akademi gimana,negative,98.20%,158
bahas tweet syarat naturalisasi indonesia atur fifa pemain naturalisasi bela timnas pssi urus ditrobos atur,neutral,72.11%,184
timnas naturalisasi lgi ki slogan indonesia maju,negative,82.05%,54
mantan latih timnas indonesia u fakhri husaini sindir pssi kait rencana naturalisasi besar piala dunia u tanah air via,neutral,99.64%,152
wib pantau sosial media calon calon pemain naturalisasi timnas indonesia u from brasil sssssssttttttt serbu netizen uni jari jemari,neutral,97.23%,165
indra sjafri rencana pemain naturalisasi gaada sangkut paut timnas urus klub,neutral,59.11%,145
proyeksi naturalisasi pemain brasil timnas indonesia,neutral,99.67%,58
coba deh tarikin anak anak u turun indonesia negeri ketimbang lu naturalisasi orang tidak darah indonesia nya turun indonesia hak msk timnas indonesia,negative,98.09%,225
mantan latih timnas indonesia u fakhri husaini sindir pssi kait rencana naturalisasi besar piala dunia u tanah air,neutral,99.59%,136
pro kontra sih ya ngedukung apa langkah pssi indonesia u emang pemain brazil naturalisasi world cup maju timnas oke,negative,55.50%,203
pssi aneh nitipin pemain asing klub liga umur nya u nya naturalisasi masuk skuad timnas indonesia pildun u,negative,97.73%,154
rame isu naturalisasi pemain brazil u timnas indonesia tinggal tidak ya,negative,78.24%,96
sibuk trending grepe grepe cangkeman e bu tejosampe lupa berita pemain muda ygtiba yiba klub indonesia proyek naturalisasi timnas indonesia pildun u,negative,98.68%,202
serang naturalisasi timnas indonesia rindu selebrasi gol liga,neutral,98.98%,67
naturalisasi timnasindonesia,neutral,99.64%,40
setuju naturalisasi maksud pemain indonesia naturalisasi pemain timnas prancis brasil jerman dst founders diary,positive,82.61%,149
follow serang bal united ilija spasojevic tahan bal striker naturalisasi gabung dengantimnas indonesia pelatihtimnas indonesia shin tae yong,neutral,99.62%,180
deret pemain naturalisasi dampak positif timnas indonesia,neutral,75.54%,77
striker naturalisasi uea positif corona jelang hadap malaysia timnas indonesia,neutral,99.51%,83
pemain naturalisasi manfaat timnas indonesia,positive,86.19%,68
serang naturalisasi bela timnas indonesia kualifikasi piala dunia,neutral,99.65%,90
timnas indonesia gempur serang naturalisasi uni emirat arab,neutral,99.72%,74
tidak pemain naturalisasi pakai timnas indonesia,negative,60.88%,66
pemain naturalisasi milik tim persija jakarta otavio dutra aku penuh panggil tim nasional timnas indonesia,neutral,84.29%,135
pemain naturalisasi timnas indonesia ya,neutral,93.58%,39
pemain naturalisasi baya surabaya rizky ridho aset timnas indonesia,neutral,91.85%,96
lilipaly pemain naturalisasi abai shin tae yong timnas indonesia,neutral,98.96%,85
juli arnold van der vin lakon debut timnas indonesia lawan tim hong kong kiper naturalisasi usir akibat bijak anti belanda,neutral,98.94%,149
janji striker naturalisasi uea fabio sisa kualifikasi piala dunia kontra timnas indonesia,neutral,99.50%,106
new post ilija spasojevic satu pemain naturalisasi skuad timnas indonesia has been published on prasasti jabar,neutral,99.71%,121
berita kini webet indonesia klik pemain naturalisasi skuad timnas indonesia era shin tae yong,neutral,99.71%,114
pemain naturalisasi skuad timnas indonesia era shin tae yong,neutral,99.39%,78
shin tae yong panggil pemain naturalisasi timnas indonesia senior,neutral,99.54%,78
striker jangkung timnas indonesia pemain naturalisasi asli indonesia nama lerbi eliandry pong babu,neutral,73.03%,124
pasal tahu elkan baggott pemain turun jalan panggil timnas indonesia proses naturalisasi irfan bachdim,neutral,90.97%,165
baggott bukan pemain naturalisasi timnas indonesia u,neutral,63.05%,52
kaya ezra turun indo lawnya fifa bela timnas indonesia bapak lahir sana tidak paspor indo naturalisasi takut mees hilgers  bela timnas kasih paspor naturalisasi,negative,46.08%,278
setuju statement coach indra sjafri tidak pemain naturalisasi timnas orang hak capai bela negara cinta indonesia sempat liat bukti down tinggal coret selesai,negative,72.04%,271
minim naturalisasi tc timnas indonesia kental nuansa lokal,neutral,85.36%,58
topskor kali sempat diam serang naturalisasi timnas indonesia darah nigeria osas marvelous saha bukan nama asli panggil lantar awa main mantan bintang manchester united louis saha,neutral,98.66%,263
de gea atur naturalisasi indonesia cabut mu fokus timnas dah,neutral,98.46%,76
ya bagus pilih sana tidak naturalisasi main timnas indonesia main liga indonesia dapet bonus bintang iklan tv mentok mentok selebgram,positive,84.86%,203
follow bungtopscore pemain turun indonesiadan swedia nyoman paul aro bukan pemain naturalisasi usaha masuk skuat timnas indonesia golong orang,neutral,97.69%,199
follow exco pssi aku naturalisasi pemain timnas indonesia u masuk timbang program gantung shin tae yong anggota exco endri erawan,neutral,99.01%,199
follow dapat asisten latih arema tim sepakbola charis yulianto timnas u indonesiadinilai tidak kuat pemain naturalisasi prestasi piala dunia u charis,neutral,98.56%,178
wkwkwkw kuduna indonesia nempo belgia baheula goreng ayeuna jaman hazard de bruyne luka alus eweuh salahna pemain naturalisasi keur tuju maju timnas jeung tahan generasi timnas mah,positive,73.68%,207
pemain turun indonesiadan swedia nyoman paul aro bukan pemain naturalisasi usaha masuk skuat timnas indonesia nama nyoman paul gadang gadang tembus skuad timnas,neutral,95.74%,209
timnas indonesia u pemain naturalisasi tanggap indra sjafri,neutral,99.75%,78
pemain naturalisasi uea hancur timnas indonesia,neutral,99.36%,60
ketua forum komunikasi suporter indonesia fksi richard achmad supriyanto tanggap pro kontra guna pemain turun naturalisasi timnas piala dunia u,neutral,99.45%,173
matic bilang free gratis ayo timnas indonesia naturalisasi diaaaa cepet wkwkwk,negative,81.97%,82
naturalisasi timnas indonesia u gantung shin tae yong,neutral,99.73%,56
is nya sih pemain turun salah org tua org indonesia hak bela timnas cerita pemain naturalisasi,negative,98.60%,141
pemain naturalisasi latih vietnam banding timnas indonesia malaysia,neutral,99.24%,80
tunjuk dunia kalo indonesia negara hukum pribumi turun naturalisasi kalo hukum sah wni hak pemain timnas,positive,62.50%,169
selesai naturalisasi pemain persib bela timnas indonesia,neutral,96.66%,71
pemain persib bandung sempat kuat timnas indonesia ikut program naturalisasi,neutral,99.25%,130
pemain naturalisasi persib seragam timnas indonesia,neutral,99.63%,65
calon pemain naturalisasi timnas indonesia tips gelandang hebat,neutral,98.20%,85
daeng uki naturalisasi jajah timnas indonesia,neutral,99.05%,73
joey suk calon pemain naturalisasi timnas indonesia cetak gol liga kroasia,neutral,99.63%,77
bukan cristian gonzales pemain naturalisasi timnas indonesia,neutral,94.49%,72
sepak bola indonesia ubah mentalistas pesepakbola muda senior cvoach latih pemain profesional karna talenta muda ruang timnas senior karna pemain naturalisasi ambil ruang dal timnas,positive,58.83%,279
exco pssi anggota satgas timnas indonesia endri erawan tanggap kait wacana naturalisasi pemain timnas indonesia u,neutral,99.65%,145
direktur teknik pssi indra sjafri restu guna pemain naturalisasi skuad timnas u indonesia saing piala dunia u mantan juru taktik timnas u fakhri husaini,neutral,99.52%,198
saran fakhri timnas indonesia piala dunia u kesampingkannaturalisasi,neutral,99.59%,77
saran fakhri timnas indonesia piala dunia u samping naturalisasi prioritaska,neutral,99.61%,90
pemain afrika naturalisasi kuat rival timnas indonesia,neutral,99.65%,75
fakhri husaini timnas u indonesia pemain naturalisasi,neutral,99.62%,72
timnas indonesia u izin pasang pemain naturalisasi piala duniau,neutral,99.60%,72
indra sjafri setuju timnas u indonesia pakai pemain naturalisasi piala dunia,neutral,99.47%,79
indra sjafri dukung timnas u indonesia pakai pemain naturalisasi piala dunia u,neutral,99.48%,84
direktur teknik pssi indra sjafri restu pssi tambah pemain naturalisasi skuat timnas indonesia laga piala dunia u orang anti naturalisasi,negative,89.61%,194
indra sjafri indikasi timnas indonesia u butuh pemain naturalisasi piala dunia u,neutral,99.60%,89
rival timnas indonesia milik pemain naturalisasi klub sukses ceko,neutral,93.83%,89
pssi laku naturalisasi pemain timnas indonesia syarat,neutral,99.72%,85
pssi buka peluang laku naturalisasi pemain timnas indonesia serial bola,neutral,99.76%,86
pssi buka peluang naturalisasi pemain muda timnas indonesia u piala dunia u,neutral,99.57%,86
naturalisasi pemain timnas indonesia timbang,neutral,98.45%,104
pssi pasti anti naturalisasi pemain timnas indonesia naturalisasi pemain,neutral,99.65%,85
tidak pemain naturalisasi main timnas indonesia,negative,94.94%,80
alih alih kejar prestasi timnas naturalisasi hilang intel online coba cari main bola mana skrg repost zonatimnas,neutral,90.78%,151
tebak gol gol cipta salah pemain naturalisasi timnas indonesia gol,neutral,92.74%,108
fakta kejut calon pemain naturalisasi timnas indonesia ricardo malaiholo,neutral,99.60%,86
calon pemain naturalisasi timnas indonesia vinnie vermeer buka peluang klub liga fakta tentang,neutral,99.43%,113
calon pemain naturalisasi timnas indonesia fabian beukhof liga kiprah liga belanda,neutral,99.01%,123
fabian beukhof pemain calon naturalisasi timnas indonesia hijrah liga cocok ya,neutral,83.51%,115
proses naturalisasi molor marc klok sabar kuat timnas indonesia,neutral,98.07%,87
proses naturalisasi molor marc klok sabar timnas indonesia,neutral,98.68%,70
dayen gentenaar aku bela timnas indonesia dengar kabar pssi buru pemain naturalisasi piala dunia u,neutral,98.25%,137
timnas indonesia u milik opsi naturalisasi anak mantan borussia dortmund,neutral,99.70%,92
marcel kalonda bek calon pemain naturalisasi baru timnas malaysia,neutral,99.52%,74
lu ngetweet pake bahasa indonesia mulu biar naturalisasi timnas indonesia yee,negative,95.00%,86
rival berat timnas indonesia naturalisasi pemain eropa,neutral,99.58%,59
pemain turun tarik ogah bela timnas indonesia,neutral,91.32%,92
indonesia naturalisasi tidak dampak tingkat klub timnas bukti klub indonesia bicara tingkat internasional timnas senior prestasi tinggi mentok runner up,negative,90.48%,271
mantan latih indonesia naturalisasi timnas filipina bak sisi mata pisau,neutral,99.67%,80
striker naturalisasi timnas indonesia alberto goncalves pensiun beto main madura united jalan musim laskar sape,neutral,94.94%,201
belanda indonesia mmbantu timnas masuk world wup dg naturalisasi,neutral,97.81%,79
pemain naturalisasi nasib sial timnas indonesia,negative,90.17%,58
pemain naturalisasi nasib tragis timnas indonesia,negative,88.02%,55
pemain naturalisasi nasib apes timnas indonesia,neutral,78.28%,53
elkan kabar lahir thailand thailand tidak gerak indonesia tidak gera thailand naturalisasi dalam squad pemain naturalisasi thai sempat timnas,negative,64.78%,267
andai mees hilgers jalan proses naturalisasi bek timnas indonesia posisi ancam,neutral,99.05%,113
suka timnas indonesia naturalisasi sih,positive,98.70%,50
hadir pemain naturalisasi kuat timnas indonesia muncul pemain asing naturalisasi pemain naturalisasi liga tunggu bela timnas indonesia coba panggil timnas lob,positive,71.43%,266
daftar milik nomor punggung level timnas indonesia naturalisasi,neutral,99.62%,85
nama pemain naturalisasi timnas indonesia belanda nyambi band medan tidak kenal kenal kali stefano lilyayu,neutral,48.60%,142
pemain asing naturalisasi bela timnas indonesia,neutral,99.74%,68
ya statistika tetep setia vietnam sih kalo dapet regen indonesia statistika kaya gitu naturalisasi timnas belanda,negative,93.05%,167
tular indonesia filipina timnas malaysia tagih naturalisasi pemain,negative,62.68%,78
malaysia umum pemain naturalisasi mimpi buruk timnas indonesia,neutral,87.13%,80
naturalisasi pemain malaysia sama timnas indonesia,neutral,99.06%,65
mantan striker timnas indonesia kurniawan dwi yulianto ketidaksetujuan banyak pemain naturalisasi indonesia turut pemain muda hilang sempat,neutral,87.38%,204
klik berita kini prediksi liga inggris manuver pssi aman pemain naturalisasi bela timnas,neutral,99.80%,105
striker lokal runtuh dominasi naturalisasi timnas indonesia,neutral,96.06%,76
main pake ajax fm dapet top regen nya orang indonesia nama adi yunus komang irwansyah dua ability lumayan ajax nya langgan semifinal ucl sayang milih naturalisasi timnas belanda huhu,positive,99.04%,231
anda pemain naturalisasi satu starting xi timnas indonesia,neutral,98.82%,101
rencana naturalisasi marko simic potensi timbul rugi untung sendiri prestasi timnas indonesia lengkap klik link bio ya sob,neutral,73.14%,168
program naturalisasi cenderung untung club bukan timnas setuju sih kalo naturalisasi ya point pemain naturalisasi milik darah indonesia muda,positive,89.36%,226
infografis deret pemain naturalisasi kuat timnas indonesia,neutral,99.73%,84
beda timnas indonesia alas vietnam ogah pakai pemain naturalisasi,neutral,86.11%,78
timnas lbh bgs latih sm latih org indonesia ky indra sjafri yeyen tumena bgs kemaren timnas u amp u latih asli org indonesia lbh phm sm pemain lokal naturalisasi hny man,negative,96.87%,226
pemain naturalisasi indonesia tidak masuk timnas indonesia akal akal klub,negative,99.03%,137
takut sua timnas indonesia vietnam ikut naturalisasi pemain,negative,61.72%,69
landas naturalisasi indonesia butuh klub bukan butuh timnas,neutral,71.98%,76
ajar kayak ama atlet sepakbola timnas indonesia tetep respect latih n wartawan bina sepakbola indonesia macet banyak pemain naturalisasi pssi bobrok bantai latih ampas,negative,53.68%,224
kalah lawan korea timnas indonesia kambing hitam tiada pemainnaturalisasi,neutral,52.87%,94
pemain naturalisasi timnas indonesia pede kalah korsel,neutral,89.79%,69
pemain naturalisasi timnas indonesia prediksi bantai,neutral,99.56%,67
naturalisasi gelap timnas indonesia gagal main pemain asing,neutral,93.46%,66
timnas indonesia tunggu tim tabur pemain naturalisasi kualifikasi piala dunia,neutral,98.89%,85
lawan timnas indonesia kualifikasi piala dunia ramai ramai naturalisasi pemain,neutral,94.06%,81
striker naturalisasi timnas indonesia keteter latih shin tae yong,neutral,99.35%,77
sikap manager coach timnas indonesia shin tae yong tangan pusat latih puji pemain salah puji pemain naturalisasi ilija spasojevic,positive,55.93%,181
indonesia main luar tidak jamin panggil timnas pemain naturalisasi senang maen liga musim pindah pindah,positive,91.22%,155
ubah signifikan prestasi sepak bola indonesia ya naturalisasi timnas jor joran ketua terjun politik liga sibuk dg sanksi club timnas bongkar pasang coach alhasil selip negara angga deh,negative,97.62%,250
latih timnas indonesia shin tae yong lirik pemain naturalisasi,neutral,99.59%,78
gebrak shin tae yong singkir pemain naturalisasi timnas indonesia tampil beda,neutral,99.28%,88
shin tae yong panggil pemain naturalisasi timnas indonesia,neutral,99.72%,70
shin tae yong percaya pemain lokal panggil pemain naturalisasi tc timnas indonesia,neutral,95.80%,128
shin tae yong panggil pemain naturalisasi pusat latih timnas indonesia via,neutral,99.82%,93
potensial sob layak naturalisasi tidak pemain blackburn rovers u joseph ferguson simatupang aku bela timnas indonesia,neutral,52.29%,152
posisi tidak aman lawan timnas indonesia sisa kualifikasi piala dunia naturalisasi pemain asing,neutral,96.35%,103
sah warga negara liridon krasniqi pemain naturalisasi timnas malaysia,neutral,99.56%,79
mantan timnas albania u liridon krasniqi resmi pemain naturalisasi malaysia,neutral,99.55%,82
salah mana liga kompetitif saksi persik main padu lihat cetak gol urawa red pemain timnas jepang pemain timnas indonesia budi cg el loco naturalisasi sih kangen tidak bol,positive,98.64%,234
bro gabung club indonesia biar naturalisasi gabung timnas indonesia,neutral,95.40%,105
deret kabar top news kali berita shin tae yong urus timnas indonesia senior gelandang eropa darah semarang naturalisasi,neutral,99.48%,171
marc klok aju warga negara indonesia proses naturalisasi pemain belanda via,neutral,99.66%,128
marc klok aju warga negara indonesia proses naturalisasi pemain belanda,neutral,99.38%,124
naturalisasi pemain asing main timnas indonesia,neutral,99.45%,54
pogo szczecin bek naturalisasi timnas otvio dutra main klub brasil kali main indonesia baya liga primer indonesia besut arifin panigoro dkk,neutral,97.79%,232
udah gitu timnas isi kumpul pemain lokal baik indonesia featuring calon naturalisasi gadang timnas sip wkwk,negative,55.94%,171
calon pemain naturalisasi timnas indonesia tampil dahsyat,positive,55.64%,57
dear tri pupr naturalisasi sungai sulit naturalisasi sungai sungai negeri republik kongo sungai indonesia telah main timnas hehehe,positive,56.27%,237
naturalisasi tidak guna timnas indonesia udah over duduk,negative,99.54%,87
tau naturalisasi sih rekrut org turun indonesia idup negeri main timnas kitawkwkwkcontohnya wkwkwk,negative,87.69%,134
