full_text,sentiment,confidence
untuk saat ini malah pro ke naturalisasi sih berberapa pemain timnas kita tidak seperti pemain profesional bahkan terkesan amatir pemain timnas indonesia saat ini juga susah ngaturny pemain indo sekarang juga pada star syndrome pola makan saja masih pada susah jaga nya,negative,97.75%
untuk saat ini malah pro ke naturalisasi sih karena berberapa pemain timnas kita tidak seperti pemain profesional bahkan terkesan amatir pemain timnas indonesia saat ini juga susah ngaturnya pola makan saja masih pada susah jaga nya,negative,94.95%
kok tak liat pemain brazil datang ke indonesia lalu naturalisasi katanya buat jangka panjang ini buat kebutuhan klub ato timnas lha terus nasib akademi gimana,negative,98.20%
pembahasan di tweet sebelumnya kan soal syarat naturalisasi di indonesia yg peraturan fifa soal pemain naturalisasi yang akan bela timnas kalau pssi yang urus pasti ditrobos itu aturan,neutral,72.11%
timnas naturalisasi lgi ki kapan slogan indonesia maju,negative,82.05%
eks pelatih timnas indonesia u fakhri husaini menyindir pssi terkait rencana naturalisasi besar besaran untuk piala dunia u di tanah air seperti apa via,neutral,99.64%
wib memantau sosial media calon calon pemain naturalisasi timnas indonesia u from brasil sssssssttttttt akankah diserbu netizen dengan segala keunikan jari jemarinya,neutral,97.23%
indra sjafri mengatakan jika rencana para pemain naturalisasi itu gaada sangkut pautnya dengan timnas mereka semua jadi urusan klub masing masing,neutral,59.11%
proyeksi naturalisasi pemain brasil untuk timnas indonesia,neutral,99.67%
coba deh tarikin anak anak u keturunan indonesia yang ada di luar negeri ketimbang lu naturalisasi orang yang jelas jelas tidak ada darah indonesia nya mereka yang keturunan indonesia juga punya hak untuk msk timnas indonesia,negative,98.09%
eks pelatih timnas indonesia u fakhri husaini menyindir pssi terkait rencana naturalisasi besar besaran untuk piala dunia u di tanah air,neutral,99.59%
pasti bakal ada pro kontra sih ya kalau saya untuk sekarang ngedukung apapun langkah pssi untuk indonesia u kalau emang pemain brazil itu di naturalisasi untuk world cup dan kemajuan timnas saya oke saja,negative,55.50%
pssi makin aneh mulai nitipin pemain asing ke klub liga yang umur nya u yang nanti nya bakal di naturalisasi buat masuk skuad timnas indonesia di pildun u,negative,97.73%
lagi rame soal isu naturalisasi pemain dari brazil untuk u timnas indonesia ketinggalan tidak ya,negative,78.24%
kalian terlalu sibuk dengan trending grepe grepe dan cangkeman e bu tejosampe lupa berita banyak pemain muda ygtiba yiba datang ke klub indonesia sebagai proyek naturalisasi timnas indonesia di pildun u,negative,98.68%
penyerang naturalisasi timnas indonesia rindu selebrasi gol di liga,neutral,98.98%
naturalisasi pertanyakan timnasindonesia,neutral,99.64%
saya sangat setuju sekali dengan naturalisasi maksud saya pemain indonesia dinaturalisasi jadi pemain timnas prancis brasil jerman dst founders diary,positive,82.61%
follow penyerang bali united ilija spasojevic masih tertahan di bali striker naturalisasi tersebut belum bisa bergabung dengantimnas indonesia pelatihtimnas indonesia shin tae yong,neutral,99.62%
deretan pemain naturalisasi yang memberi dampak positif bagi timnas indonesia,neutral,75.54%
striker naturalisasi uea positif corona jelang hadapi malaysia dan timnas indonesia,neutral,99.51%
para pemain naturalisasi yang memberi manfaat untuk timnas indonesia,positive,86.19%
para penyerang naturalisasi yang sudah membela timnas indonesia di kualifikasi piala dunia,neutral,99.65%
para pemain naturalisasi yang memberi manfaat untuk timnas indonesia,positive,86.19%
timnas indonesia bakal digempur dua penyerang naturalisasi uni emirat arab,neutral,99.72%
tidak banyak pemain naturalisasi yang terpakai di timnas indonesia,negative,60.88%
pemain naturalisasi milik tim persija jakarta otavio dutra mengaku dirinya selalu siap memenuhi panggilan tim nasional timnas indonesia,neutral,84.29%
pemain naturalisasi timnas indonesia ya,neutral,93.58%
pemain naturalisasi persebaya surabaya yakin rizky ridho bisa jadi aset penting timnas indonesia,neutral,91.85%
ada lilipaly ini pemain naturalisasi yang diabaikan shin tae yong di timnas indonesia,neutral,98.96%
juli arnold van der vin melakoni debutnya di timnas indonesia melawan tim asal hong kong kiper naturalisasi ini terusir akibat kebijakan anti belanda,neutral,98.94%
janji striker naturalisasi uea fabio lima di sisa kualifikasi piala dunia termasuk kontra timnas indonesia,neutral,99.50%
janji striker naturalisasi uea fabio lima di sisa kualifikasi piala dunia termasuk kontra timnas indonesia,neutral,99.50%
new post ilija spasojevic satu satunya pemain naturalisasi di skuad timnas indonesia has been published on prasasti jabar,neutral,99.71%
berita terkini webet indonesia klik hanya ada satu pemain naturalisasi di skuad timnas indonesia era shin tae yong,neutral,99.71%
hanya ada satu pemain naturalisasi di skuad timnas indonesia era shin tae yong,neutral,99.39%
shin tae yong cuma panggil satu pemain naturalisasi di timnas indonesia senior,neutral,99.54%
shin tae yong cuma panggil satu pemain naturalisasi di timnas indonesia senior,neutral,99.54%
hanya ada satu pemain naturalisasi di skuad timnas indonesia era shin tae yong,neutral,99.39%
ada striker jangkung timnas indonesia saya kira pemain naturalisasi ternyata asli indonesia namanya lerbi eliandry pong babu,neutral,73.03%
pasalnya di ketahui bahwa elkan baggott menjadi pemain keturunan kedua yang menjalani pemanggilan di timnas indonesia tanpa proses naturalisasi seperti irfan bachdim,neutral,90.97%
baggott bukan pemain naturalisasi timnas indonesia u,neutral,63.05%
jadi sama kaya ezra dia keturunan indo secara lawnya fifa dia bisa bela timnas indonesia karena bapaknya lahir disana tp ternyata dia tidak punya paspor indo jadi baru dinaturalisasi takutnya mees hilgers dan yang lain begitu tp bs bela timnas dengan dikasih paspor naturalisasi,negative,46.08%
agak kurang setuju sama statement coach indra sjafri yang tidak mau adanya pemain naturalisasi di timnas semua orang berhak atas pencapaian untuk membela sebuah negara apalagi dia mencintai indonesia beri kesempatan lalu liat pembuktiannya jika down tinggal coret selesai,negative,72.04%
minim naturalisasi tc timnas indonesia kental nuansa lokal,neutral,85.36%
topskor kali ini berkesempatan mendatangi kediaman penyerang naturalisasi timnas indonesia berdarah nigeria osas marvelous saha bukan nama aslinya melainkan hanya panggilan lantaran perawakan dan permainannya yang mirip mantan bintang manchester united louis saha,neutral,98.66%
de gea aturan naturalisasi indonesia terus cabut dari mu fokus di timnas dah,neutral,98.46%
ya sudah bagus itu pilihannya disana saja gak perlu lah naturalisasi demi main di timnas indonesia terus nanti akhirnya main di liga indonesia dapet bonus jadi bintang iklan tv mentok mentoknya selebgram,positive,84.86%
follow bungtopscore pemain keturunan indonesiadan swedia nyoman paul aro menegaskan dirinya bukan pemain naturalisasi dalam usaha dirinya masuk ke skuat timnas indonesia saya tergolong itu orang yang,neutral,97.69%
follow exco pssi mengakui naturalisasi pemain untuk timnas indonesia u masuk dalam pertimbangan dan program itu nantinya juga tergantung pada shin tae yong anggota exco endri erawan mengatakan sampai,neutral,99.01%
follow menurut pendapat asisten pelatih arema fc charis yulianto timnas u indonesiadinilai tidak perlu diperkuat pemain naturalisasi atau untuk berprestasi dipiala dunia u charis,neutral,98.56%
wkwkwkw kuduna indonesia bisa nempo belgia baheula goreng ayeuna jaman hazard de bruyne lukaku jadi alus eweuh salahna pemain di naturalisasi keur tujuan kemajuan timnas jeung pertahankan generasi timnas mah,positive,73.68%
pemain keturunan indonesiadan swedia nyoman paul aro menegaskan dirinya bukan pemain naturalisasi dalam usaha dirinya masuk ke skuat timnas indonesia nama nyoman paul digadang gadang bisa menembus skuad timnas,neutral,95.74%
timnas indonesia u akan gunakan pemain naturalisasi ini tanggapan indra sjafri,neutral,99.75%
pemain naturalisasi uea yang siap hancurkan timnas indonesia,neutral,99.36%
ketua forum komunikasi suporter indonesia fksi richard achmad supriyanto menanggapi pro dan kontra penggunaan pemain keturunan dan naturalisasi untuk timnas di piala dunia u,neutral,99.45%
matic bilang free aja gratis ayo timnas indonesia naturalisasi diaaaa cepet wkwkwk,negative,81.97%
naturalisasi timnas indonesia u tergantung shin tae yong,neutral,99.73%
is mau nya apa sih pemain keturunan juga kan salah org tua org indonesia punya hak untuk membela timnas lain cerita kalau pemain naturalisasi,negative,98.60%
ada pemain naturalisasi pelatih vietnam bandingkan timnas indonesia dan malaysia,neutral,99.24%
ada pemain naturalisasi pelatih vietnam bandingkan timnas indonesia dan malaysia,neutral,99.24%
follow menurut pendapat asisten pelatih arema fc charis yulianto timnas u indonesiadinilai tidak perlu diperkuat pemain naturalisasi atau untuk berprestasi dipiala dunia u charis,neutral,98.56%
tunjukan pada dunia kalo indonesia katanya negara hukum pribumi keturunan atau naturalisasi kalo secara hukum sah sebagai wni punya hak yang sama buat jadi pemain timnas,positive,62.50%
selesai naturalisasi pemain persib ini belum juga bela timnas indonesia,neutral,96.66%
satu pemain persib bandung ini belum mendapatkan kesempatan memperkuat timnas indonesia meski sudah mengikuti program naturalisasi,neutral,99.25%
satu pemain naturalisasi persib belum berseragam timnas indonesia,neutral,99.63%
satu pemain naturalisasi persib belum berseragam timnas indonesia,neutral,99.63%
calon pemain naturalisasi timnas indonesia berikan tips untuk menjadi gelandang hebat,neutral,98.20%
daeng uki sebut naturalisasi seperti penjajahan di timnas indonesia lewat,neutral,99.05%
daeng uki sebut naturalisasi seperti penjajahan di timnas indonesia lewat,neutral,99.05%
joey suk calon pemain naturalisasi timnas indonesia cetak gol di liga kroasia,neutral,99.63%
bukan cristian gonzales ini pemain naturalisasi pertama timnas indonesia,neutral,94.49%
bukan cristian gonzales ini pemain naturalisasi pertama timnas indonesia,neutral,94.49%
bukan cristian gonzales ini pemain naturalisasi pertama timnas indonesia,neutral,94.49%
sepak bola indonesia harus berubah mentalistas dari pesepakbola muda dan senior dan cvoach untuk bisa pelatihan seperti pemain profesional karna ada banyak talenta muda belum punya ruang di timnas senior karna ada banyak pemain naturalisasi dan mereka ambil ruang di dalan timnas,positive,58.83%
exco pssi sekaligus anggota satgas timnas indonesia endri erawan memberikan tanggapan terkait wacana naturalisasi pemain untuk timnas indonesia u,neutral,99.65%
sebelumnya direktur teknik pssi indra sjafri merestui penggunaan pemain naturalisasi di skuad timnas u indonesia demi bersaing di piala dunia u akan tetapi mantan juru taktik timnas u fakhri husaini,neutral,99.52%
saran fakhri untuk timnas indonesia di piala dunia u kesampingkannaturalisasi,neutral,99.59%
saran fakhri untuk timnas indonesia di piala dunia u kesampingkan naturalisasi prioritaska,neutral,99.61%
pemain asal afrika ingin naturalisasi dan memperkuat rival timnas indonesia,neutral,99.65%
pemain asal afrika ingin naturalisasi dan memperkuat rival timnas indonesia,neutral,99.65%
jawaban fakhri husaini soal timnas u indonesia perlu pemain naturalisasi,neutral,99.62%
jawaban fakhri husaini soal timnas u indonesia perlu pemain naturalisasi,neutral,99.62%
timnas indonesia u dapat izin pasang pemain naturalisasi di piala duniau,neutral,99.60%
indra sjafri setuju timnas u indonesia pakai pemain naturalisasi di piala dunia,neutral,99.47%
indra sjafri dukung timnas u indonesia pakai pemain naturalisasi untuk piala dunia u,neutral,99.48%
direktur teknik pssi indra sjafri merestui bila pssi menambah pemain naturalisasi ke skuat timnas indonesia untuk berlaga di piala dunia u selama ini saya sebenarnya orang yang anti naturalisasi,negative,89.61%
indra sjafri indikasikan timnas indonesia u butuh pemain naturalisasi untuk piala dunia u,neutral,99.60%
rival timnas indonesia bakal memiliki pemain naturalisasi dari klub paling sukses di ceko,neutral,93.83%
rival timnas indonesia bakal memiliki pemain naturalisasi dari klub paling sukses di ceko,neutral,93.83%
pssi masih akan lakukan naturalisasi pemain untuk timnas indonesia tapi ada syaratnya,neutral,99.72%
pssi masih buka peluang lakukan naturalisasi pemain untuk timnas indonesia serial bola,neutral,99.76%
pssi buka peluang naturalisasi pemain muda untuk timnas indonesia u demi piala dunia u,neutral,99.57%
naturalisasi pemain untuk timnas indonesia dilakukan dengan beberapa pertimbangan bagaimana menurut anda,neutral,98.45%
pssi pastikan tak anti naturalisasi pemain untuk timnas indonesia naturalisasi pemain,neutral,99.65%
kamu pasti gak tahu pemain naturalisasi yang tak pernah main di timnas indonesia,negative,94.94%
alih alih untuk mengejar prestasi timnas setelah di naturalisasi terus menghilang intel online coba cari mereka main bola dimana skrg repost zonatimnas,neutral,90.78%
tebak gol gol ini diciptakan oleh salah satu pemain naturalisasi timnas indonesia kira kira gol siapakah ini,neutral,92.74%
berikut fakta mengejutkan calon pemain naturalisasi timnas indonesia ricardo malaiholo,neutral,99.60%
calon pemain naturalisasi timnas indonesia vinnie vermeer membuka peluang bagi klub liga berikut fakta tentangnya,neutral,99.43%
calon pemain naturalisasi timnas indonesia fabian beukhof bisa saja datang ke liga lalu bagaimana kiprahnya di liga belanda,neutral,99.01%
fabian beukhof pemain calon naturalisasi timnas indonesia ini mungkin akan hijrah menuju liga ke mana yang cocok ya,neutral,83.51%
proses naturalisasi molor marc klok harus lebih sabar untuk memperkuat timnas indonesia,neutral,98.07%
proses naturalisasi molor marc klok harus sabar untuk timnas indonesia,neutral,98.68%
dayen gentenaar mengaku ingin membela timnas indonesia karena mendengar kabar pssi sedang berburu pemain naturalisasi untuk piala dunia u,neutral,98.25%
timnas indonesia u memiliki opsi melakukan naturalisasi kepada anak mantan borussia dortmund,neutral,99.70%
marcel kalonda bek tahun calon pemain naturalisasi terbaru timnas malaysia,neutral,99.52%
lu ngetweet pake bahasa indonesia mulu pasti biar di naturalisasi timnas indonesia yee,negative,95.00%
rival berat timnas indonesia naturalisasi pemain asal eropa,neutral,99.58%
rival berat timnas indonesia naturalisasi pemain asal eropa,neutral,99.58%
berikut ini pemain keturunan yang tertarik atau ogah bela timnas indonesia siapa saja mereka,neutral,91.32%
bagaimana dengan indonesia naturalisasi tidak terlalu memberikan dampak sepertinya baik di tingkat klub maupun timnas terbukti belum ada klub indonesia yang bisa berbicara lebih di tingkat internasional apalagi timnas senior yang prestasi tertingginya mentok di runner up,negative,90.48%
eks pelatih indonesia sebut naturalisasi timnas filipina bak dua sisi mata pisau,neutral,99.67%
striker naturalisasi timnas indonesia alberto goncalves mengatakan dirinya belum mau pensiun dalam waktu dekat beto saat ini bermain untuk madura united dia menjalani musim keduanya bersama laskar sape,neutral,94.94%
belanda datang ke indonesia cuma mmbantu timnas masuk world wup dg naturalisasi,neutral,97.81%
lima pemain naturalisasi bernasib sial di timnas indonesia,negative,90.17%
pemain naturalisasi bernasib tragis di timnas indonesia,negative,88.02%
pemain naturalisasi bernasib apes di timnas indonesia,neutral,78.28%
pemain naturalisasi bernasib tragis di timnas indonesia,negative,88.02%
pemain naturalisasi bernasib tragis di timnas indonesia,negative,88.02%
pemain naturalisasi bernasib tragis di timnas indonesia,negative,88.02%
pemain naturalisasi bernasib tragis di timnas indonesia,negative,88.02%
elkan dikabarkan lahir di thailand dan tentu saja thailand tidak mau bergerak lama apabila indonesia tidak ada pergerakan thailand bisa saja melakukan naturalisasi buat memperdalam squad toh banyak pemain naturalisasi thai yang belum banyak dapat kesempatan di timnas,negative,64.78%
andai mees hilgers menjalani proses naturalisasi maka bakal ada bek timnas indonesia yang posisinya bisa terancam,neutral,99.05%
lebih suka timnas indonesia tanpa naturalisasi sih,positive,98.70%
kehadiran pemain naturalisasi memperkuat timnas indonesia mulai bermunculan pemain asing yang dinaturalisasi semakin banyak bahkan ada pemain naturalisasi di liga yang masih menunggu membela timnas indonesia siapa yang menurut kalian bisa dicoba dipanggil timnas lob,positive,71.43%
daftar pemilik nomor punggung di semua level timnas indonesia hanya yang naturalisasi,neutral,99.62%
nama pemain naturalisasi timnas indonesia dari belanda yang juga nyambi jadi band dari medan yang tidak terkenal terkenal kali stefano lilyayu,neutral,48.60%
tiga pemain asing yang ingin naturalisasi demi bela timnas indonesia,neutral,99.74%
tiga pemain asing yang ingin naturalisasi demi bela timnas indonesia,neutral,99.74%
kok bisa ya statistika begitu tetep setia sama vietnam sering sih beberapa kalo dapet regen indonesia statistika kaya gitu tetapi pada naturalisasi jadi timnas belanda,negative,93.05%
ketularan indonesia dan filipina timnas malaysia ketagihan naturalisasi pemain,negative,62.68%
ketularan indonesia dan filipina timnas malaysia ketagihan naturalisasi pemain,negative,62.68%
malaysia umumkan satu pemain naturalisasi baru mimpi buruk bagi timnas indonesia,neutral,87.13%
malaysia umumkan satu pemain naturalisasi baru mimpi buruk bagi timnas indonesia,neutral,87.13%
jika naturalisasi pemain ini malaysia bisa samai timnas indonesia,neutral,99.06%
jika naturalisasi pemain ini malaysia bisa samai timnas indonesia,neutral,99.06%
mantan striker timnas indonesia kurniawan dwi yulianto mengungkapkan ketidaksetujuan terhadap banyaknya pemain naturalisasi di indonesia hal ini menurutnya justru membuat pemain muda kehilangan kesempatan,neutral,87.38%
klik berita terkini prediksi liga inggris manuver pssi amankan tiga pemain naturalisasi untuk bela timnas,neutral,99.80%
striker lokal yang mampu runtuhkan dominasi naturalisasi di timnas indonesia,neutral,96.06%
striker lokal yang mampu runtuhkan dominasi naturalisasi di timnas indonesia,neutral,96.06%
main pake ajax di fm tahun berturut dapet top regen nya orang indonesia namanya adi yunus sama komang irwansyah duanya ability lumayan ajax nya langganan semifinal ucl sayang mereka lebih milih jadi naturalisasi timnas belanda huhu,positive,99.04%
bagaimana seandainya pemain naturalisasi disatukan ke dalam sebuah starting xi untuk timnas indonesia,neutral,98.82%
rencana naturalisasi marko simic berpotensi menimbulkan kerugian atau keuntungan tersendiri bagi prestasi timnas indonesia kok bisa selengkapnya klik link di bio ya sob,neutral,73.14%
program naturalisasi cenderung lebih menguntungkan buat club bukan timnas saya setuju saja sih kalo ada naturalisasi tetapi ya point pentingnya tadi pemain yang akan dinaturalisasi harus memiliki darah indonesia dan masih muda,positive,89.36%
infografis deretan pemain naturalisasi yang belum pernah memperkuat timnas indonesia,neutral,99.73%
beda dengan timnas indonesia ini alasan vietnam ogah pakai pemain naturalisasi,neutral,86.11%
padahal timnas lbh bgs di latih sm pelatih org indonesia ky indra sjafri atau yeyen tumena bgs juga itu kemaren di timnas u amp u pelatih asli org indonesia lbh phm sm pemain lokal kalau naturalisasi hny untuk pemanis saja lah,negative,96.87%
makin banyak pemain naturalisasi yang ada di indonesia dan banyak juga yang tidak masuk timnas indonesia apakah ini cuma akal akalan klub,negative,99.03%
takut bersua timnas indonesia vietnam ikut ikutan naturalisasi pemain,negative,61.72%
landasan naturalisasi di indonesia itu kebutuhan klub bukan kebutuhan timnas,neutral,71.98%
perlu belajar lagi kayaknya ama atlet sepakbola timnas indonesia tetep respect dengan pelatih n wartawan walaupun pembinaan sepakbola indonesia macet kebanyakan pemain naturalisasi pssi bobrok biasa dibantai pelatihnya ampas,negative,53.68%
kalah lawan korea timnas indonesia tak ingin mengkambing hitamkan ketiadaan pemainnaturalisasi,neutral,52.87%
tanpa pemain naturalisasi timnas indonesia tetap pede kalahkan korsel,neutral,89.79%
tanpa pemain naturalisasi timnas indonesia diprediksi akan dibantai,neutral,99.56%
naturalisasi gelap timnas indonesia gagal mainkan dua pemain asing,neutral,93.46%
naturalisasi gelap timnas indonesia gagal mainkan dua pemain asing,neutral,93.46%
naturalisasi gelap timnas indonesia gagal mainkan dua pemain asing,neutral,93.46%
timnas indonesia ditunggu tim bertabur pemain naturalisasi di kualifikasi piala dunia,neutral,98.89%
lawan timnas indonesia di kualifikasi piala dunia ramai ramai naturalisasi pemain,neutral,94.06%
striker naturalisasi timnas indonesia keteteran berlatih dengan shin tae yong,neutral,99.35%
sikap manager coach timnas indonesia shin tae yong dalam menangani pemusatan latihan mendapat pujian dari pemain salah satu yang memujinya ialah pemain naturalisasi ilija spasojevic,positive,55.93%
klo di indonesia itu main diluar tidak jaminan di panggil timnas maka rata pemain naturalisasi lebih senang maen di liga itu pun setiap musim pindah pindah,positive,91.22%
pertanyaan perubahan signifikan prestasi sepak bola indonesia dari tahun ke tahun ini apa ya naturalisasi timnas jor joran ketum terjun politik liga sibuk dg sanksi ke club timnas bongkar pasang coach dan lain-lain alhasil keselip negara terangga deh,negative,97.62%
pelatih timnas indonesia shin tae yong hanya lirik dua pemain naturalisasi ini,neutral,99.59%
bikin gebrakan shin tae yong singkirkan pemain naturalisasi timnas indonesia tampil beda,neutral,99.28%
shin tae yong cuma panggil dua pemain naturalisasi di timnas indonesia,neutral,99.72%
shin tae yong makin percaya dengan pemain lokal dan hanya memanggil dua pemain naturalisasi dalam tc timnas indonesia siapa saja,neutral,95.80%
shin tae yong hanya panggil dua pemain naturalisasi ke timnas indonesia,neutral,99.75%
shin tae yong cuma panggil dua pemain naturalisasi di timnas indonesia,neutral,99.72%
shin tae yong hanya panggil pemain naturalisasi ke timnas indonesia,neutral,99.60%
